town,year,bike_inj,bike_fat,bike_tot,ped_inj,ped_fat,ped_tot
Sherborn,2013,1,0,2,0,0,0
Somerville,2013,49,0,74,36,0,41
Southborough,2013,2,0,2,0,0,0
Stoneham,2013,3,0,3,3,0,3
Stow,2013,1,0,1,0,0,0
Sudbury,2013,3,0,3,4,0,4
Swampscott,2013,3,0,4,2,0,3
Topsfield,2013,0,0,0,0,0,0
Wakefield,2013,7,0,7,8,0,10
Walpole,2013,1,0,2,2,0,3
Waltham,2013,19,0,27,23,0,30
Watertown,2013,7,0,10,15,0,20
Wayland,2013,3,0,5,0,0,0
Wellesley,2013,6,0,6,8,0,10
Wenham,2013,1,0,1,0,0,0
Weston,2013,2,0,2,2,0,3
Westwood,2013,1,0,1,1,0,1
Weymouth,2013,4,0,7,23,0,24
Wilmington,2013,2,0,3,3,0,3
Winchester,2013,2,0,2,3,0,4
Winthrop,2013,2,0,3,5,0,6
Woburn,2013,4,0,8,8,0,11
Wrentham,2013,2,0,2,0,0,0
Total,2013,577,2,840,855,30,1109
Acton,2014,3,0,4,0,0,1
Arlington,2014,11,0,26,6,0,12
Ashland,2014,2,0,2,2,0,2
Bedford,2014,4,0,4,0,0,0
Bellingham,2014,0,0,0,6,0,7
Belmont,2014,3,0,6,3,0,4
Beverly,2014,4,0,4,10,0,11
Bolton,2014,1,0,1,1,0,1
Boston,2014,61,1,101,117,12,190
Boxborough,2014,2,0,2,1,0,1
Braintree,2014,0,0,2,7,0,7
Brookline,2014,18,0,27,25,0,35
Burlington,2014,2,0,2,6,0,7
Cambridge,2014,92,0,150,53,1,78
Canton,2014,1,0,1,1,0,1
Carlisle,2014,0,0,0,0,0,0
Chelsea,2014,14,1,18,45,0,48
Cohasset,2014,1,0,1,0,0,0
Concord,2014,9,0,10,2,0,3
Danvers,2014,3,0,6,8,0,11
Dedham,2014,1,0,1,6,2,8
Dover,2014,3,0,3,0,0,0
Essex,2014,0,0,0,0,0,0
Everett,2014,8,0,11,16,1,25
Foxborough,2014,0,0,0,8,0,6
Framingham,2014,15,0,19,35,0,42
Franklin,2014,1,0,1,3,1,4
Gloucester,2014,3,0,4,7,0,8
Hamilton,2014,0,0,0,1,0,1
Hingham,2014,3,0,7,3,0,3
Holbrook,2014,1,0,1,1,0,2
Holliston,2014,4,0,4,3,0,3
Hopkinton,2014,1,0,1,0,0,0
Hudson,2014,0,0,0,5,0,6
Hull,2014,1,1,2,2,0,2
Ipswich,2014,2,0,2,1,0,1
Lexington,2014,14,0,16,12,0,14
Lincoln,2014,1,0,1,0,0,0
Littleton,2014,1,0,1,1,0,1
Lynn,2014,28,0,43,94,1,121
Lynnfield,2014,1,0,1,0,0,1
Malden,2014,10,1,16,14,0,21
Manchester,2014,1,0,1,0,0,0
Marblehead,2014,5,0,5,1,0,2
Marlborough,2014,4,0,4,11,0,13
Marshfield,2014,1,0,2,4,0,5
Maynard,2014,1,0,2,2,0,2
Medfield,2014,1,0,2,1,0,2
Medford,2014,5,1,10,19,1,24
Medway,2014,2,0,2,0,0,0
Melrose,2014,6,0,7,7,1,7
Middleton,2014,1,0,1,0,0,0
Milford,2014,6,0,10,9,0,11
Millis,2014,0,0,0,1,0,1
Milton,2014,2,0,3,1,0,1
Nahant,2014,3,0,3,0,0,0
Natick,2014,4,0,7,3,0,7
Needham,2014,4,0,5,3,0,2
Newton,2014,32,0,37,51,0,56
Norfolk,2014,0,0,1,1,0,2
North Reading,2014,0,0,0,0,0,0
Norwell,2014,0,0,0,1,0,1
Norwood,2014,3,0,3,8,0,11
Peabody,2014,5,0,5,19,1,22
Quincy,2014,9,0,20,52,1,75
Randolph,2014,3,0,5,14,1,15
Reading,2014,4,0,4,4,0,4
Revere,2014,7,0,10,26,0,30
Rockland,2014,0,0,0,2,0,5
Rockport,2014,0,0,0,1,0,1
Salem,2014,14,0,14,19,0,24
Saugus,2014,2,0,3,12,1,13
Scituate,2014,1,0,3,0,0,0
Sharon,2014,2,0,2,0,1,1
Sherborn,2014,0,0,0,0,0,0
Somerville,2014,52,0,62,34,1,51
Southborough,2014,0,0,0,0,0,0
Stoneham,2014,1,0,4,4,0,5
Stow,2014,2,0,3,0,0,0
Sudbury,2014,3,0,3,1,0,1
Swampscott,2014,2,0,3,6,0,8
Topsfield,2014,0,0,0,0,0,0
Wakefield,2014,6,0,7,15,0,12
Walpole,2014,1,0,1,2,0,4
Waltham,2014,23,0,30,39,2,42
Watertown,2014,12,0,13,6,0,7
Wayland,2014,1,0,2,0,0,1
Wellesley,2014,6,0,8,5,0,8
Wenham,2014,1,0,2,1,0,1
Weston,2014,1,0,1,4,0,4
Westwood,2014,1,0,1,2,0,2
Weymouth,2014,6,0,8,16,0,19
Wilmington,2014,6,0,6,4,0,6
Winchester,2014,2,0,3,5,0,5
Winthrop,2014,0,0,1,3,0,3
Woburn,2014,6,0,9,4,0,8
Wrentham,2014,0,1,1,0,0,0
Total,2014,589,6,840,928,28,1212
Acton,2015,1,0,1,0,0,0
Arlington,2015,10,0,21,8,2,27
Ashland,2015,2,0,2,1,1,4
Bedford,2015,1,0,3,1,0,1
Bellingham,2015,1,0,1,3,0,3
Belmont,2015,6,0,7,8,0,11
Beverly,2015,2,0,4,6,1,9
Bolton,2015,0,0,0,0,0,0
